epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.227,1.58271,1.35388,1.15091,0.73481,0.62546,0.68316,0.43836,1.24236,1.03193,1.04636,0.00332995,0.00332995,0.00332995
2,636.992,1.39284,0.9234,1.03004,0.63487,0.59329,0.61149,0.37862,1.3294,1.27559,1.09638,0.00653135,0.00653135,0.00653135
3,941.431,1.40536,0.9374,1.04059,0.67045,0.58926,0.64191,0.38637,1.35918,1.15352,1.10476,0.00960075,0.00960075,0.00960075
4,1245.93,1.41595,0.93728,1.04743,0.70513,0.63657,0.69263,0.43205,1.34133,1.02025,1.1084,0.009406,0.009406,0.009406
5,1551.25,1.37522,0.87072,1.03157,0.73965,0.61055,0.69573,0.44368,1.25321,0.99483,1.06036,0.009208,0.009208,0.009208
6,1855.18,1.34246,0.82321,1.02018,0.71776,0.62682,0.68656,0.446,1.28069,1.03889,1.09536,0.00901,0.00901,0.00901
7,2161.08,1.32091,0.80309,1.01297,0.68934,0.68106,0.73813,0.45683,1.31212,0.99523,1.08649,0.008812,0.008812,0.008812
8,2468.79,1.30043,0.77457,1.00598,0.7138,0.69585,0.73011,0.47986,1.23808,0.91548,1.05467,0.008614,0.008614,0.008614
9,2778.83,1.27942,0.74968,0.99746,0.72847,0.71342,0.76041,0.48563,1.27389,0.92129,1.07729,0.008416,0.008416,0.008416
10,3086.61,1.26368,0.72629,0.99312,0.76634,0.7201,0.78381,0.51497,1.224,0.82575,1.05373,0.008218,0.008218,0.008218
11,3390.91,1.24624,0.70536,0.98681,0.74947,0.70687,0.76007,0.50973,1.19925,0.85844,1.05187,0.00802,0.00802,0.00802
12,3696.74,1.22704,0.68264,0.9761,0.77465,0.71214,0.78061,0.51919,1.21881,0.82024,1.04991,0.007822,0.007822,0.007822
13,4002.2,1.21224,0.66614,0.97276,0.79548,0.70348,0.76907,0.51447,1.20058,0.81086,1.04565,0.007624,0.007624,0.007624
14,4309.08,1.19266,0.64508,0.96664,0.78125,0.7443,0.79132,0.52856,1.19238,0.81827,1.04486,0.007426,0.007426,0.007426
15,4615.34,1.18174,0.63356,0.96238,0.70865,0.76635,0.78162,0.5331,1.18684,0.77769,1.03529,0.007228,0.007228,0.007228
16,4920.56,1.16901,0.61845,0.95856,0.78946,0.70623,0.77994,0.52948,1.2065,0.81493,1.06275,0.00703,0.00703,0.00703
17,5225.68,1.14926,0.59807,0.95154,0.7584,0.73183,0.77909,0.51782,1.21968,0.81124,1.05315,0.006832,0.006832,0.006832
18,5530.78,1.14109,0.59206,0.94865,0.75123,0.76946,0.78803,0.53138,1.19617,0.78222,1.04891,0.006634,0.006634,0.006634
19,5836.24,1.12904,0.57922,0.94765,0.78199,0.70948,0.75648,0.50658,1.23764,0.80651,1.07006,0.006436,0.006436,0.006436
20,6140.64,1.11567,0.57103,0.94053,0.76214,0.73194,0.77098,0.52301,1.19836,0.80369,1.05398,0.006238,0.006238,0.006238
21,6445.65,1.10518,0.55947,0.93722,0.7771,0.73025,0.78877,0.53103,1.22453,0.79519,1.05686,0.00604,0.00604,0.00604
22,6748.58,1.09033,0.54859,0.93311,0.8118,0.73493,0.80661,0.54416,1.20712,0.77402,1.05451,0.005842,0.005842,0.005842
23,7058.23,1.07755,0.5379,0.93089,0.78068,0.73542,0.79387,0.5354,1.20569,0.75375,1.05217,0.005644,0.005644,0.005644
24,7366.63,1.06602,0.53049,0.92694,0.77183,0.74234,0.78976,0.53091,1.19781,0.77165,1.05008,0.005446,0.005446,0.005446
25,7673.8,1.05179,0.5208,0.92037,0.79868,0.76616,0.81271,0.55085,1.1991,0.75572,1.04786,0.005248,0.005248,0.005248
26,7981.96,1.03724,0.51107,0.91791,0.77752,0.76223,0.80398,0.54815,1.19415,0.75305,1.04545,0.00505,0.00505,0.00505
27,8291.63,1.03183,0.50688,0.9153,0.78726,0.75552,0.80652,0.54753,1.19738,0.73703,1.05292,0.004852,0.004852,0.004852
28,8601.6,1.01959,0.49747,0.91178,0.7889,0.73977,0.79299,0.53936,1.19968,0.75907,1.05172,0.004654,0.004654,0.004654
29,8912.33,1.00494,0.4891,0.9099,0.78227,0.78327,0.79782,0.5484,1.1953,0.73182,1.04827,0.004456,0.004456,0.004456
30,9220.14,0.99803,0.48587,0.90703,0.8012,0.77813,0.80961,0.55298,1.21055,0.73829,1.05634,0.004258,0.004258,0.004258
31,9525.47,0.98819,0.48,0.9029,0.81555,0.77059,0.8144,0.56024,1.19835,0.72626,1.05281,0.00406,0.00406,0.00406
